Cluster,Label,Size,Percentage,Primary_Type,Top_Genre,Top_Rating,Avg_Release_Year
0,Classic Movies,2675,30.4%,TV Show,International TV Shows,TV-MA,2016
1,International TV Series,6132,69.6%,Movie,Dramas,TV-MA,2013
